#Table1
u,g,r,i,z,subClass
18.95785,18.08318,17.78178,17.65689,17.61821,F5
24.67483,22.26487,20.64612,18.56418,17.49117,M6
24.92767,22.37556,20.98914,19.07481,18.00486,M6
17.68367,16.59419,16.18793,16.03418,15.98387,G0
18.64835,17.61079,17.25167,17.11175,17.04695,F5
18.82505,17.6112,17.76906,17.90757,17.97194,A0
19.31312,17.87409,17.21563,16.94543,16.79734,F9
18.05058,17.11492,16.86391,16.7724,16.73566,F5
16.66648,15.43646,15.25651,15.16605,15.10944,F5
22.22929,21.0665,20.54457,20.37721,19.67661,F2
18.4786,16.9382,16.35374,16.14822,16.04416,F9
25.44848,23.37455,21.18722,19.31235,18.17241,M6
25.30524,23.1558,21.27775,19.14595,17.94963,M6
20.04241,18.70786,18.14626,17.92253,17.88182,F9
19.09037,18.64195,18.72695,18.92522,19.08019,WD
26.06458,22.59224,21.06778,18.88205,17.73723,M6
21.50078,19.85747,18.85942,18.71028,19.23096,T2
18.31061,18.40672,18.74448,19.0132,19.33519,OB
18.426,17.4546,17.02919,16.82406,16.744,F5
20.56897,18.60848,17.87077,17.58091,17.41932,K1
22.9074,22.2694,20.76105,18.67227,17.50087,M6
24.64327,21.32864,19.83452,17.86219,16.8165,M5
22.39516,20.96463,20.49742,20.37289,19.89488,M2V
22.54903,21.04327,20.32827,20.07148,20.53865,K3
19.2188,18.28268,17.97391,17.86742,17.79447,F5
25.19957,20.88759,19.46639,18.5105,17.93782,M2
22.44948,20.74043,20.17307,20.17471,19.97162,T2
